"","CD_MUN","NM_MUN","AREA_KM2","GDP","GDPperCap","AnimProd","MilkProd","SUM_REST","PercRest","Crop_value_thousand_reais","Tree_extraction_value_thousand_reais","Cattle_heads","population_2021","Forest_2011","Other_natural_vegetation_2011","Farming_2011","Forest_perc_2011","Othernature_perc_2011","Nat_veg_total_perc_2011","Farming_perc_2011"
"1",2900108,"Abaíra",538.677,62646,7169,620,420,6855,1.10797,1438,206,2188,8681,32285.61607,9985.972031,11470.06924,0.599374122,0.185386991,0.784761113,0.212938872
"2",2900504,"Érico Cardoso",735.249,69609,6561,1492,1090,5648,0.668496,1591,289,2901,10513,45309.49608,17438.41617,10230.8681,0.616225767,0.237168857,0.853394624,0.139143559
"3",2900603,"Aiquara",167.877,45750,10290,3754,3571,1087,0.561859,1074,58,15514,4387,7340.419063,NA,9408.235095,0.437292718,0,0.437292718,0.560479267
"4",2900900,"Almadina",245.236,53045,9708,2856,2824,2446,0.863216,467,NA,13470,5273,12702.46678,NA,11781.74883,0.517967396,0,0.517967396,0.480423359
"5",2901007,"Amargosa",431.655,393230,10559,7464,7238,4010,0.809671,3492,152,33465,37631,7778.377949,NA,35038.40916,0.180204058,0,0.180204058,0.811745529
"6",2901205,"Anagé",1899.683,185460,8428,3850,3055,63425,2.89097,810,156,30065,21229,99573.00679,9.614684723,89390.44645,0.5241565,5.06121e-05,0.524207112,0.470555074
"7",2901304,"Andaraí",1590.316,110614,8416,4795,4059,13257,0.727372,10288,225,22461,13122,95452.96199,13206.59294,49427.37239,0.600200532,0.083041992,0.683242524,0.310795334
"8",2901700,"Antônio Cardoso",293.53,110322,9443,1037,733,2439,0.726007,2014,NA,15631,11670,1934.193424,NA,25810.7708,0.065894663,0,0.065894663,0.879328832
"9",2901957,"Apuarema",150.83,65189,8893,818,598,2861,1.64797,194,315,6062,7274,5645.334512,0.868825391,9400.785254,0.374296596,5.76048e-05,0.374354201,0.623290244
"10",2902005,"Aracatu",1489.803,116722,8886,4610,3988,49600,2.8856,19426,370,41118,12960,63599.19665,30.41870839,85157.84355,0.426897505,0.00020418,0.427101685,0.57160582
"11",2902252,"Arataca",435.962,89447,8118,479,409,4830,0.956366,16,NA,1816,10904,39573.90739,0.949277332,3988.021543,0.907640492,2.1772e-05,0.907662264,0.091466577
"12",2902302,"Aratuípe",174.012,68859,7803,334,185,5286,2.64684,6623,150,4308,8848,6121.037424,6.448044617,11124.43766,0.351738519,0.00037053,0.352109049,0.639253277
"13",2902401,"Aurelino Leal",445.394,109568,9502,2965,2910,3168,0.616519,541,NA,26330,11079,18124.1705,NA,26279.47457,0.406937883,0,0.406937883,0.590047073
"14",2902807,"Barra da Estiva",1657.413,263051,12771,2707,1716,37418,1.96265,17851,255,17651,20198,76447.69281,16081.61957,72056.77491,0.461244249,0.09702784,0.558272089,0.434751813
"15",2902906,"Barra do Choça",765.936,393203,12442,10804,10084,13797,1.55749,27868,NA,29564,30831,24306.95252,NA,51812.97586,0.317346983,0,0.317346983,0.676460432
"16",2903102,"Barra do Rocha",214.411,63172,11056,1288,1207,3192,1.29197,141,60,6839,5515,13977.16376,NA,7395.51593,0.651970295,0,0.651970295,0.344966746
"17",2903300,"Barro Preto",201.585,60936,10899,2429,2383,1099,0.471698,102,NA,7998,5312,16425.58588,NA,3697.124396,0.814862837,0,0.814862837,0.183411983
"18",2903508,"Belo Campo",772.756,146143,8491,2551,2247,21896,2.44901,4452,102,15681,17013,29250.23546,1.469754175,47330.24162,0.37852353,1.90199e-05,0.37854255,0.612494561
"19",2903706,"Boa Nova",849.538,97570,7723,1732,1283,24579,2.5077,3622,98,21204,12039,42868.54174,33.71666349,41750.41056,0.505009578,0.000397197,0.505406775,0.491837519
"20",2903805,"Boa Vista do Tupim",2972.109,127991,6890,3044,2834,22861,0.671052,2290,241,68046,18491,177550.8115,547.3269513,117095.8396,0.597389197,0.001841542,0.599230739,0.393981807
"21",2903953,"Bom Jesus da Serra",467.813,62360,6312,2040,1746,21774,4.03396,336,59,9046,9768,21717.87666,0.346667676,24969.82999,0.464181545,7.40941e-06,0.464188954,0.533686347
"22",2904001,"Boninal",896.857,97544,6789,2306,1687,6243,0.607268,6814,131,9782,14518,60943.81465,3338.737011,25232.30582,0.679502095,0.037225743,0.716727838,0.281331334
"23",2904308,"Brejões",518.566,122242,8551,1324,1252,4909,0.824887,1560,109,20603,14155,12512.25819,NA,38907.72408,0.241280275,0,0.241280275,0.750277545
"24",2904605,"Brumado",2207.612,1727280,25705,7652,6406,53036,2.08405,5724,609,64922,67468,92209.97343,658.9216413,125434.4299,0.417689273,0.002984758,0.420674031,0.568188167
"25",2904704,"Buerarema",219.487,209646,11425,2198,2138,2906,1.1444,669,NA,10446,18269,16396.53376,0.605017059,5459.845026,0.747100701,2.75673e-05,0.747128268,0.248775388
"26",2904803,"Caatiba",512.436,65884,9749,4792,4608,15275,2.57636,134,NA,46238,6232,22057.42239,NA,29149.00411,0.430453423,0,0.430453423,0.568846549
"27",2904852,"Cabaceiras do Paraguaçu",222.026,130050,6915,769,421,1284,0.504955,14855,29,6537,19010,915.7491018,0.785600671,18306.23398,0.041246018,3.5384e-05,0.041281403,0.824526351
"28",2905156,"Caetanos",767.146,89483,6153,2398,2021,22983,2.59723,266,84,13070,14671,31865.08191,24.27212435,44664.72548,0.415370147,0.000316394,0.415686541,0.582217038
"29",2905206,"Caetité",2651.536,905220,17758,8308,7154,25233,0.826307,4307,556,34588,51184,187948.335,659.2161756,75336.92905,0.708842657,0.002486218,0.711328875,0.284131429
"30",2905404,"Cairu",448.846,1059092,58269,38,20,2610,0.505805,NA,775,28,18666,28449.37688,4823.894454,3926.838515,0.636382008,0.107905338,0.744287346,0.08783916
"31",2905800,"Camamu",839.702,359394,10177,355,205,11888,1.22894,1238,465,3235,35444,57165.35933,374.4431755,17316.37303,0.68118171,0.00446186,0.68564357,0.206341685
"32",2906709,"Cândido Sales",1169.814,210363,8351,3547,3198,20608,1.52006,5913,128,16138,24921,66698.54954,NA,49820.83314,0.570159877,0,0.570159877,0.425883925
"33",2906899,"Caraíbas",805.629,76677,8566,1921,1332,37744,4.05577,681,87,14759,8659,33302.195,13.59534799,46601.98138,0.413341562,0.000168743,0.413510306,0.578416401
"34",2907301,"Castro Alves",713.789,294942,11230,813,721,7238,0.884771,6154,1,43280,26369,9721.734318,NA,61399.08068,0.136194782,0,0.136194782,0.860158707
"35",2908002,"Coaraci",274.5,173129,10188,3253,3149,2627,0.828406,391,NA,14731,16128,15250.85393,NA,12057.47094,0.555506987,0,0.555506987,0.439189136
"36",2908200,"Conceição da Feira",164.798,310788,13763,576,216,2303,1.22049,1920,23,7674,22933,1999.413891,NA,11815.82827,0.12133206,0,0.12133206,0.717029523
"37",2908309,"Conceição do Almeida",284.836,175027,10148,1299,1024,1555,0.476113,3079,1,25334,17087,1246.636859,NA,27153.80524,0.043765387,0,0.043765387,0.953282256
"38",2908705,"Condeúba",1348.039,157740,9146,4912,4318,22019,1.41221,1169,178,24066,17113,82888.88804,146.0160179,51401.48428,0.614874243,0.001083155,0.615957398,0.381298983
"39",2908804,"Contendas do Sincorá",977.455,42286,10400,966,915,19394,1.72365,3979,45,8759,4025,63465.0326,1209.758528,32743.85032,0.649297099,0.012376779,0.661673879,0.334995291
"40",2909000,"Cordeiros",523.64,61703,7163,1960,1522,5251,0.866563,422,29,10140,8667,28106.25298,353.9835718,23728.9329,0.53676208,0.006760238,0.543522318,0.453165756
"41",2909505,"Cravolândia",182.585,41141,7691,203,160,1734,0.82645,184,83,5692,5352,7747.790355,NA,10409.41612,0.424374944,0,0.424374944,0.570161966
"42",2909802,"Cruz das Almas",139.117,981147,15515,722,517,1309,0.82122,8090,2,6281,63923,877.0940344,NA,12289.66069,0.063048941,0,0.063048941,0.883428762
"43",2910008,"Dário Meira",413.637,104508,9758,5357,5124,10749,2.25215,909,17,21904,10347,20458.95272,NA,20832.97787,0.494651928,0,0.494651928,0.503695023
"44",2910107,"Dom Basílio",689.516,118124,9683,3662,3378,14024,1.76677,3339,228,15694,12281,28231.28288,952.3512693,39588.21114,0.409453152,0.013812452,0.423265604,0.574168659
"45",2910206,"Dom Macedo Costa",94.778,36152,8909,422,322,879,0.808625,1168,33,12481,4072,521.9522491,NA,8944.306295,0.055066151,0,0.055066151,0.943627545
"46",2910305,"Elísio Medrado",179.329,63239,7786,925,554,2054,0.998614,1761,37,13936,8129,2781.181692,NA,15120.77108,0.155085939,0,0.155085939,0.843173599
"47",2910800,"Feira de Santana",1304.425,14898192,24230,19331,9908,22888,1.53412,3941,219,62778,624107,16346.83213,22.10689788,102546.5917,0.125315913,0.000169473,0.125485386,0.786129061
"48",2910909,"Firmino Alves",172.353,51340,9140,13404,13345,1264,0.634019,19,NA,25746,5641,2719.462853,NA,14457.19396,0.157772909,0,0.157772909,0.838751502
"49",2911006,"Floresta Azul",321.013,85448,8039,2978,2945,1094,0.294783,32,NA,32393,10525,9600.920301,NA,22386.33121,0.299111536,0,0.299111536,0.697434173
"50",2911204,"Gandu",229.631,388942,12003,1732,1558,4155,1.57224,393,17,3272,32778,13427.57877,NA,9368.213465,0.584699989,0,0.584699989,0.407936114
"51",2911501,"Gongogi",202.194,62647,8789,1072,1042,1092,0.46827,144,NA,35140,6852,6708.908948,0.606803693,13433.42969,0.331850823,3.00151e-05,0.331880838,0.664473871
"52",2911600,"Governador Mangabeira",106.848,187798,9063,393,108,1482,1.21103,17242,24,1718,20800,1121.11642,NA,8504.187364,0.104927861,0,0.104927861,0.795926427
"53",2911659,"Guajeru",872.867,56940,8208,2671,1886,33799,3.35336,263,12,19160,6371,40357.76442,1.039368951,46852.59167,0.462364918,1.19077e-05,0.462376825,0.536773902
"54",2911907,"Iaçu",2342.497,212586,8747,2871,2335,22970,0.855348,1704,261,53828,23950,86680.64447,555.7731173,145213.8896,0.370035268,0.002372567,0.372407835,0.619910718
"55",2912103,"Ibicaraí",230.953,190189,8769,4799,4769,1126,0.421585,26,NA,21024,21083,12177.17777,NA,10715.4665,0.527161668,0,0.527161668,0.463882789
"56",2912202,"Ibicoara",817.355,390912,19974,761,459,16109,1.71529,462464,6,10452,19990,36907.29226,15099.51454,29345.8793,0.451547785,0.184737268,0.636285053,0.359036547
"57",2912301,"Ibicuí",1139.378,157103,9699,26527,26000,12864,0.977396,1013,17,115207,16262,17910.85212,NA,95849.30619,0.157198036,0,0.157198036,0.84123986
"58",2912608,"Ibiquera",698.245,29686,7341,406,298,10274,1.28456,381,258,18134,4047,34868.58823,10.21434154,34861.05595,0.49937637,0.000146286,0.499522657,0.499268496
"59",2912707,"Ibirapitanga",472.694,233465,9988,290,146,10396,1.9087,255,36,2327,23433,33591.27202,1.388589001,13485.60739,0.710669491,2.93775e-05,0.710698869,0.285306544
"60",2912905,"Ibirataia",318.129,180627,11796,1602,1498,6289,1.71615,140,34,7963,14476,19899.23352,2.604144159,11683.24424,0.62546509,8.18525e-05,0.625546942,0.36722326
"61",2913002,"Ibitiara",1834.002,107053,6552,2506,1911,30852,1.46874,1670,709,14919,16463,83681.08223,1504.334799,97680.52761,0.456284009,0.008202618,0.464486627,0.532618145
"62",2913457,"Igrapiúna",591.312,161357,12200,93,12,6786,0.996795,433,810,251,12963,40431.93831,1093.05172,11780.80213,0.684009473,0.018491761,0.702501234,0.199302348
"63",2913507,"Iguaí",860.223,211740,7867,21128,20921,17843,1.79565,2481,122,55609,27006,30282.77461,NA,55607.02973,0.352026289,0,0.352026289,0.646411585
"64",2913606,"Ilhéus",1588.555,4667858,28756,5113,4274,18100,0.985833,5371,561,16849,157639,120250.0113,296.2201257,34617.40977,0.758065033,0.001867394,0.759932427,0.218230731
"65",2913804,"Ipecaetá",372.565,88566,6114,1408,944,4983,1.16898,1633,NA,14918,14229,5314.082639,5.329447461,31869.89383,0.142643355,0.000143056,0.142786411,0.855468178
"66",2913903,"Ipiaú",280.454,477374,10406,6553,6360,4536,1.40377,776,21,15628,45969,15107.17665,0.781123547,12507.71141,0.53868512,2.7853e-05,0.538712973,0.445994522
"67",2914000,"Ipirá",3105.281,627770,10534,29517,26449,20676,0.582117,780,6,111609,59281,47790.75443,58.81672368,260260.157,0.15390245,0.00018941,0.15409186,0.83812604
"68",2914208,"Irajuba",459.047,72115,9933,203,150,3430,0.65073,1982,29,9208,7295,12635.25752,NA,33046.72224,0.27525688,0,0.27525688,0.719917077
"69",2914307,"Iramaia",1708.115,85487,10014,1363,1022,24969,1.2718,2617,136,33372,7874,81273.22019,2387.596456,86865.36823,0.475802145,0.013977833,0.489779978,0.508540555
"70",2914406,"Iraquara",991.822,507645,20132,1619,792,22765,2.00639,33508,253,8243,25728,61766.37525,1796.918804,35360.26708,0.622750495,0.018117172,0.640867667,0.35651475
"71",2914703,"Itaberaba",2386.39,883474,13700,4543,3512,42869,1.56882,50138,115,63831,64795,104512.3697,304.7276225,132218.8986,0.437941118,0.001276909,0.439218027,0.554040565
"72",2914802,"Itabuna",401.028,4183238,19619,8206,8075,3220,0.694453,172,NA,29431,214123,23026.46061,NA,15503.1048,0.574215657,0,0.574215657,0.386604162
"73",2914901,"Itacaré",726.265,331387,11711,336,82,12845,1.53297,2200,87,1304,29051,58623.63084,378.4018412,12807.25605,0.807323471,0.005211084,0.812534555,0.176372535
"74",2915007,"Itaeté",1331.822,103525,6448,3129,2967,14895,0.974527,4058,283,29660,16164,78968.23505,5243.715066,47614.38446,0.592950391,0.03937359,0.632323981,0.357523096
"75",2915106,"Itagi",310.621,107016,8665,783,740,6231,1.74018,879,53,9992,12140,20030.4805,NA,10939.40319,0.64481315,0,0.64481315,0.352156856
"76",2915205,"Itagibá",810.993,205955,14127,7041,6850,9287,0.993024,445,85,77551,14331,24318.16833,0.433817896,56149.66013,0.299846208,5.34903e-06,0.299851557,0.692332681
"77",2915403,"Itaju do Colônia",1225.287,73034,10930,5139,5092,31110,2.19299,NA,NA,88660,6515,28313.75869,0.691015088,94032.27959,0.23108431,5.63976e-06,0.23108995,0.76744966
"78",2915502,"Itajuípe",270.752,226757,11066,3441,3374,2706,0.86509,1169,NA,7053,20309,22401.83265,NA,4550.255355,0.827420436,0,0.827420436,0.168065458
"79",2915700,"Itamari",143.479,89327,11117,665,509,2889,1.74965,247,NA,2453,7971,7199.903125,NA,7110.007102,0.501800327,0,0.501800327,0.495534985
"80",2915809,"Itambé",1534.575,249034,10805,19256,19067,34976,1.96847,1112,43,142051,36495,44220.12416,NA,108923.8206,0.288166019,0,0.288166019,0.709815822
"81",2915809,"Itambé",1534.575,249034,10805,19256,19067,34976,1.96847,1112,43,142051,22474,44220.12416,NA,108923.8206,0.288166019,0,0.288166019,0.709815822
"82",2915809,"Itambé",1534.575,249034,10805,19256,19067,34976,1.96847,1112,43,142051,6110,44220.12416,NA,108923.8206,0.288166019,0,0.288166019,0.709815822
"83",2916203,"Itapé",453.144,93670,10692,10436,10317,1216,0.231972,21,NA,50152,8300,8273.711411,1.81581969,36941.90554,0.182578828,4.00703e-05,0.182618898,0.815209702
"84",2916401,"Itapetinga",1651.158,1177521,15464,25297,25229,27549,1.44003,49,NA,143421,77408,26600.10505,NA,137274.3938,0.161100608,0,0.161100608,0.831387257
"85",2916609,"Itapitanga",420.663,78454,7607,1623,1584,3727,0.767559,43,NA,40118,10284,8446.860133,NA,33562.57751,0.200801314,0,0.200801314,0.797859745
"86",2916708,"Itaquara",344.093,75861,9119,1414,630,3172,0.802106,4117,85,8586,8375,8191.507419,NA,25988.49156,0.238064666,0,0.238064666,0.755287305
"87",2916856,"Itatim",547.51,369786,25525,752,510,5662,0.902404,543,43,8310,14588,15219.31327,9.509936066,38325.97015,0.277961862,0.000173687,0.278135549,0.699976263
"88",2916906,"Itiruçu",322.243,102521,8152,977,950,2505,0.676221,714,44,11741,12482,7455.886517,NA,24597.18245,0.231359428,0,0.231359428,0.763261357
"89",2917102,"Itororó",313.839,202461,9933,10454,10366,3763,1.03603,56,NA,40415,20394,10704.78631,NA,20518.22304,0.341087307,0,0.341087307,0.653773484
"90",2917201,"Ituaçu",1199.374,163238,8609,2957,2630,23062,1.6703,22854,407,9121,19095,63135.62161,7572.483885,48640.64758,0.526390456,0.06313525,0.589525706,0.405539251
